price,area,price_per_sqft,location,bhk,resale,furnished,school,security,carparking,hospital,playarea,liftavailable,vaastucompliant
55.27,1150,4806.086956521739,Kasavanahalli,2,0,0,0,0,1,0,1,1,1
64.12,1350,4749.62962962963,Kasavanahalli,3,0,0,0,0,1,0,1,1,1
60.36,1265,4771.541501976285,Kasavanahalli,3,0,0,0,0,1,0,1,1,1
49.3,1015,4857.142857142857,Kasavanahalli,2,0,0,0,0,1,0,1,1,1
66.11,1395,4739.068100358423,Kasavanahalli,3,0,0,0,0,1,0,1,1,1
51.73,1070,4834.579439252337,Kasavanahalli,2,0,0,0,0,1,0,1,1,1
60.58,1270,4770.078740157481,Kasavanahalli,3,0,0,0,0,1,0,1,1,1
50.85,1050,4842.857142857143,Kasavanahalli,2,0,0,0,0,1,0,1,1,1
64.34,1355,4748.339483394834,Kasavanahalli,3,0,0,0,0,1,0,1,1,1
52.62,1090,4827.522935779816,Kasavanahalli,2,0,0,0,0,1,0,1,1,1
66.81999,1485,4499.662626262626,Whitefield Hope Farm Junction,3,0,0,0,0,0,0,1,1,0
65.25,1450,4500.0,Whitefield Hope Farm Junction,3,0,0,0,0,0,0,1,1,0
69.97,1555,4499.67845659164,Whitefield Hope Farm Junction,3,0,0,0,0,0,0,1,1,0
60.97,1355,4499.630996309963,Whitefield Hope Farm Junction,3,0,0,0,0,0,0,1,1,0
61.2,1360,4500.0,Whitefield Hope Farm Junction,3,0,0,0,0,0,0,1,1,0
61.42,1365,4499.6336996336995,Whitefield Hope Farm Junction,3,0,0,0,0,0,0,1,1,0
67.27,1495,4499.665551839465,Whitefield Hope Farm Junction,3,0,0,0,0,0,0,1,1,0
62.77,1395,4499.641577060932,Whitefield Hope Farm Junction,3,0,0,0,0,0,0,1,1,0
67.5,1500,4500.0,Whitefield Hope Farm Junction,3,0,0,0,0,0,0,1,1,0
64.56999,1435,4499.650871080139,Whitefield Hope Farm Junction,3,0,0,0,0,0,0,1,1,0
52.4,1310,4000.0,Bommasandra,3,0,0,0,1,1,0,0,1,0
41.2,1030,4000.0000000000005,Bommasandra,2,0,0,0,1,1,0,0,1,0
70.12,1275,5499.607843137255,Bellandur,3,0,0,0,1,1,0,1,1,1
81.95,1490,5500.0,Bellandur,3,0,0,0,1,1,0,1,1,1
80.5,1706,4718.640093786636,RR Nagar,3,0,0,0,0,1,0,1,1,1
59.0,1258,4689.984101748808,RR Nagar,2,0,0,0,0,1,0,1,1,1
81.0,1723,4701.1027278003485,RR Nagar,3,0,0,0,0,1,0,1,1,1
64.0,1369,4674.945215485756,RR Nagar,2,0,0,0,0,1,0,1,1,1
62.75,1335,4700.374531835206,RR Nagar,2,0,0,0,0,1,0,1,1,1
144.0,2000,7200.0,Whitefield Hope Farm Junction,3,0,0,0,1,0,0,1,1,0
137.0,1900,7210.526315789473,Whitefield Hope Farm Junction,3,0,0,0,1,0,0,1,1,0
113.99999,1560,7307.691666666667,Whitefield Hope Farm Junction,3,0,0,0,1,0,0,1,1,0
45.0,1097,4102.096627164996,Begur,2,0,0,0,1,0,0,1,1,1
296.0,3300,8969.69696969697,JP Nagar Phase 1,4,0,0,0,1,0,0,1,1,0
88.0,1195,7364.016736401673,Varthur,2,0,0,1,1,1,0,1,1,1
154.0,2321,6635.071090047393,Varthur,3,0,0,1,1,1,0,1,1,1
110.0,1655,6646.525679758308,Varthur,3,0,0,1,1,1,0,1,1,1
52.67,1505,3499.667774086379,Uttarahalli,3,0,0,0,0,0,0,1,1,0
35.07,1002,3500.0,Uttarahalli,2,0,0,0,0,0,0,1,1,0
48.16,1376,3500.0,Uttarahalli,3,0,0,0,0,0,0,1,1,0
